"Geographic code","Geographic name","Geographic type","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"01","Canada",,,T,35151728,33476688,F,5.0,15412443,14072079,8965588.85,3.9,,
35,Ontario,,,T,13448494,12851821,F,4.6,5598391,5169174,908699.33,14.8,,
"535","Toronto",Census metropolitan area (CMA),"Ontario",F,5928040,5583064,F,6.2,2235145,2135909,5905.84,1003.8,1,1
"505","Ottawa - Gatineau","Census metropolitan area (CMA)","Ontario/Quebec",F,1323783,1254919,T,5.5,571146,535499,6767.41,195.6,5,
"24505","Ottawa - Gatineau (Quebec part)","Census metropolitan area (CMA) � provincial part","Quebec",F,332057,318011,T,4.4,152958,140102,3128.10,106.2,,3
"35505","Ottawa - Gatineau (Ontario part)","Census metropolitan area (CMA) � provincial part","Ontario",F,991726,936908,T,5.9,418188,395397,3639.31,272.5,,2
"537","Hamilton",Census metropolitan area (CMA),"Ontario",F,747545,721053,F,3.7,306034,293345,1371.89,544.9,9,3
"541","Kitchener - Cambridge - Waterloo",Census metropolitan area (CMA),"Ontario",F,523894,496383,T,5.5,210896,200495,1091.16,480.1,10,4
"555","London",Census metropolitan area (CMA),"Ontario",F,494069,474786,F,4.1,220452,206448,2662.40,185.6,11,5
"539","St. Catharines - Niagara",Census metropolitan area (CMA),"Ontario",F,406074,392184,F,3.5,180606,168485,1397.49,290.6,12,6
"532","Oshawa",Census metropolitan area (CMA),"Ontario",F,379848,356177,F,6.6,142462,138962,903.69,420.3,14,7
"559","Windsor",Census metropolitan area (CMA),"Ontario",F,329144,319246,F,3.1,140408,132912,1022.30,322.0,16,8
"568","Barrie",Census metropolitan area (CMA),"Ontario",F,197059,187013,F,5.4,76336,72534,898.02,219.4,21,9
"580","Greater Sudbury",Census metropolitan area (CMA),"Ontario",F,164689,163067,T,1.0,76619,70445,3924.48,42.0,24,10
"521","Kingston",Census metropolitan area (CMA),"Ontario",F,161175,159561,F,1.0,77173,67915,1938.81,83.1,25,11
"550","Guelph",Census metropolitan area (CMA),"Ontario",F,151984,141097,F,7.7,63324,59280,593.51,256.1,28,12
"543","Brantford",Census metropolitan area (CMA),"Ontario",T,134203,135501,F,-1.0,54419,52530,1073.15,125.1,30,13
"529","Peterborough",Census metropolitan area (CMA),"Ontario",F,121721,118975,F,2.3,55662,50533,1507.12,80.8,32,14
"595","Thunder Bay",Census metropolitan area (CMA),"Ontario",F,121621,121596,F,0.0,57146,52545,2556.81,47.6,33,15
"522","Belleville",Census metropolitan area (CMA),"Ontario",F,103472,101668,T,1.8,45050,43002,1336.52,77.4,37,16
"556","Chatham-Kent",Census agglomeration (CA),"Ontario",F,102042,104075,F,-2.0,46287,43174,2470.52,41.3,38,17
"562","Sarnia",Census agglomeration (CA),"Ontario",F,96151,97131,T,-1.0,44252,41989,1118.65,86.0,43,18
"590","Sault Ste. Marie",Census agglomeration (CA),"Ontario",T,78159,79800,F,-2.1,36769,34530,805.60,97.0,47,19
"530","Kawartha Lakes",Census agglomeration (CA),"Ontario",F,75423,73219,T,3.0,38444,31106,3084.38,24.5,49,20
"575","North Bay",Census agglomeration (CA),"Ontario",F,70378,72241,T,-2.6,33696,30124,5369.04,13.1,51,21
"547","Norfolk",Census agglomeration (CA),"Ontario",F,64044,63175,F,1.4,28720,26007,1607.55,39.8,53,22
"501","Cornwall",Census agglomeration (CA),"Ontario",F,59699,58957,F,1.3,26936,26082,509.14,117.3,56,23
"557","Leamington",Census agglomeration (CA),"Ontario",F,49147,49765,F,-1.2,19085,17968,508.84,96.6,64,24
"586","Timmins",Census agglomeration (CA),"Ontario",F,41788,43165,F,-3.2,19317,17740,2978.83,14.0,70,25
"544","Woodstock",Census agglomeration (CA),"Ontario",F,40902,37754,F,8.3,17530,17151,48.97,835.3,72,26
"512","Brockville",Census agglomeration (CA),"Ontario",F,38553,39024,F,-1.2,17818,16912,893.23,43.2,74,27
"571","Midland",Census agglomeration (CA),"Ontario",F,35859,35419,F,1.2,16660,15180,199.99,179.3,76,28
"566","Owen Sound",Census agglomeration (CA),"Ontario",F,31820,32092,F,-0.8,15167,13888,628.64,50.6,84,29
"553","Stratford",Census agglomeration (CA),"Ontario",F,31465,30903,T,1.8,14302,13847,28.28,1112.5,85,30
"509","Carleton Place",Census agglomeration (CA),"Ontario",F,31451,29180,T,7.8,13039,12434,769.11,40.9,86,31
"569","Orillia",Census agglomeration (CA),"Ontario",F,31166,30586,T,1.9,14287,13477,28.58,1090.3,87,32
"531","Centre Wellington",Census agglomeration (CA),"Ontario",F,28191,26693,F,5.6,11499,10823,407.54,69.2,97,33
"515","Pembroke",Census agglomeration (CA),"Ontario",F,23269,24017,F,-3.1,10562,9915,565.99,41.1,105,34
"567","Collingwood",Census agglomeration (CA),"Ontario",F,21793,19241,F,13.3,11617,9556,33.78,645.1,107,35
"565","Wasaga Beach",Census agglomeration (CA),"Ontario",F,20675,17537,T,17.9,12516,9005,58.64,352.6,108,36
"527","Cobourg",Census agglomeration (CA),"Ontario",F,19440,18519,F,5.0,8958,8639,22.36,869.3,112,37
"516","Petawawa",Census agglomeration (CA),"Ontario",F,17187,15988,F,7.5,6747,6334,166.69,103.1,120,38
"528","Port Hope",Census agglomeration (CA),"Ontario",F,16753,16214,F,3.3,7305,7075,278.87,60.1,122,39
"507","Arnprior",Census agglomeration (CA),"Ontario",F,15973,15485,T,3.2,7249,6796,268.83,59.4,124,40
"546","Tillsonburg",Census agglomeration (CA),"Ontario",F,15872,15301,F,3.7,7297,7127,22.33,710.8,125,41
"598","Kenora",Census agglomeration (CA),"Ontario",F,15096,15348,F,-1.6,7376,6475,211.59,71.3,131,42
"533","Ingersoll",Census agglomeration (CA),"Ontario",F,12757,12146,F,5.0,5192,5088,12.75,1000.7,145,43
"502","Hawkesbury","Census agglomeration (CA)","Ontario/Quebec",F,11974,12128,F,-1.3,6093,5748,12.48,959.3,149,
"24502","Hawkesbury (Quebec part)","Census agglomeration (CA) � provincial part","Quebec",F,1711,1577,F,8.5,862,792,2.87,597.2,,30
"35502","Hawkesbury (Ontario part)","Census agglomeration (CA) � provincial part","Ontario",F,10263,10551,F,-2.7,5231,4956,9.62,1067.3,,45
"582","Elliot Lake",Census agglomeration (CA),"Ontario",F,10741,11348,F,-5.3,6259,5514,714.65,15.0,152,44
